760335;★ Talon Knife | Case Hardened (Minimal Wear)
37994;Souvenir SG 553 | Fallout Warning (Field-Tested)
37963;Souvenir PP-Bizon | Urban Dashed (Field-Tested)
37584;Souvenir Dual Berettas | Colony (Battle-Scarred)
36089;P250 | Supernova (Minimal Wear)
35151;M249 | Spectre (Factory New)
35012;Glock-18 | Catacombs (Minimal Wear)
36352;R8 Revolver | Reboot (Minimal Wear)
36165;P90 | Grim (Minimal Wear)
35554;MP7 | Armor Core (Factory New)
35204;M4A1-S | Flashback (Minimal Wear)
35041;Glock-18 | Off World (Factory New)
35322;M4A4 | Radiation Hazard (Field-Tested)
45367;UMP-45 | Arctic Wolf (Minimal Wear)
835759;Galil AR | Dusk Ruins (Factory New)
36044;P250 | Mint Kimono (Minimal Wear)
857549;Glock-18 | Clear Polymer (Field-Tested)
779276;SCAR-20 | Enforcer (Factory New)
42191;USP-S | Neo-Noir (Factory New)
36117;P90 | Asiimov (Well-Worn)
35262;M4A4 | Buzz Kill (Field-Tested)
35261;M4A4 | Buzz Kill (Factory New)
35234;M4A1-S | Master Piece (Field-Tested)
35218;M4A1-S | Hyper Beast (Battle-Scarred)
775550;AWP | Containment Breach (Field-Tested)
775541;AK-47 | Rat Rod (Battle-Scarred)
762232;AK-47 | Safety Net (Minimal Wear)
759636;★ Navaja Knife | Stained (Minimal Wear)
43878;★ StatTrak™ Shadow Daggers | Safari Mesh (Battle-Scarred)
43868;★ StatTrak™ Shadow Daggers | Fade (Factory New)
43832;★ StatTrak™ M9 Bayonet | Slaughter (Factory New)
43344;★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested)
42834;★ Gut Knife | Lore (Battle-Scarred)
39750;StatTrak™ USP-S | Neo-Noir (Field-Tested)
38744;StatTrak™ Glock-18 | Water Elemental (Minimal Wear)
38739;StatTrak™ Glock-18 | Wasteland Rebel (Minimal Wear)
38202;StatTrak™ AK-47 | Neon Revolution (Minimal Wear)
38199;StatTrak™ AK-47 | Neon Revolution (Battle-Scarred)
38184;StatTrak™ AK-47 | Frontside Misty (Battle-Scarred)
34597;ESL One Cologne 2014 Legends
34098;AWP | Hyper Beast (Well-Worn)
34096;AWP | Hyper Beast (Field-Tested)
34094;AWP | Hyper Beast (Battle-Scarred)
34073;AWP | Corticera (Minimal Wear)
34072;AWP | Corticera (Field-Tested)
781590;M4A4 | Tooth Fairy (Battle-Scarred)
777372;★ StatTrak™ Survival Knife | Slaughter (Minimal Wear)
773889;★ StatTrak™ Classic Knife | Blue Steel (Battle-Scarred)
773856;★ StatTrak™ Classic Knife | Forest DDPAT (Minimal Wear)
769191;AWP | Atheris (Factory New)
769177;AK-47 | Uncharted (Factory New)
762133;MP7 | Fade (Factory New)
759565;★ Navaja Knife | Safari Mesh (Battle-Scarred)
759480;★ Navaja Knife | Night Stripe (Field-Tested)
43691;★ StatTrak™ Huntsman Knife | Stained (Field-Tested)
43203;★ Shadow Daggers | Safari Mesh (Battle-Scarred)
43168;★ Shadow Daggers | Boreal Forest (Battle-Scarred)
42869;★ Gut Knife | Ultraviolet (Well-Worn)
42235;USP-S | Torque (Minimal Wear)
42191;USP-S | Neo-Noir (Factory New)
43168;★ Shadow Daggers | Boreal Forest (Battle-Scarred)
42869;★ Gut Knife | Ultraviolet (Well-Worn)
42235;USP-S | Torque (Minimal Wear)
42191;USP-S | Neo-Noir (Factory New)
42166;USP-S | Cyrex (Factory New)
38161;StatTrak™ AK-47 | Blue Laminate (Factory New)
35068;Glock-18 | Wasteland Rebel (Field-Tested)
35036;Glock-18 | Night (Factory New)
34067;AWP | Asiimov (Well-Worn)
33960;AK-47 | Redline (Field-Tested)
33944;AK-47 | Point Disarray (Battle-Scarred)
33941;AK-47 | Orbit Mk01 (Field-Tested)
33937;AK-47 | Neon Revolution (Minimal Wear)
33874;AK-47 | Blue Laminate (Minimal Wear)
779325;M4A1-S | Player Two (Battle-Scarred)
779295;AK-47 | Phantom Disruptor (Well-Worn)
769622;★ Navaja Knife | Damascus Steel (Well-Worn)
769575;M4A4 | The Emperor (Well-Worn)
763504;AK-47 | Asiimov (Well-Worn)
763329;StatTrak™ M4A4 | Magnesium (Minimal Wear)
769575;M4A4 | The Emperor (Well-Worn)
763504;AK-47 | Asiimov (Well-Worn)
763329;StatTrak™ M4A4 | Magnesium (Minimal Wear)
761278;★ Navaja Knife | Boreal Forest (Well-Worn)
759439;★ Navaja Knife | Blue Steel (Field-Tested)
43621;★ StatTrak™ Gut Knife | Marble Fade (Factory New)
43090;★ M9 Bayonet | Damascus Steel (Well-Worn)
42773;★ Flip Knife | Ultraviolet (Minimal Wear)
